X,Y,DCGISPLACE_NAMES_PTNAME,DCGISADDRESSES_PTADDRESS,DCGISADDRESSES_PTWARD,MARVW_PLACE_NAME_CATEGORIESCATEGORY,DCGISPLACE_NAMES_PTSTATUS,DCGISPLACE_NAMES_PTPLACE_NAME_ID,DCGISPLACE_NAMES_PTMAR_ID,DCGISPLACE_NAMES_PTBEFORE_DATE,DCGISPLACE_NAMES_PTBEFORE_DATE_SOURCE,DCGISPLACE_NAMES_PTBEGIN_DATE,DCGISPLACE_NAMES_PTBEGIN_DATE_SOURCE,DCGISPLACE_NAMES_PTFIRST_KNOWN_DATE,DCGISPLACE_NAMES_PTFIRST_KNOWN_DATE_SOURCE,DCGISPLACE_NAMES_PTCREATED_DATE,DCGISPLACE_NAMES_PTCREATED_USER,DCGISPLACE_NAMES_PTLAST_EDITED_DATE,DCGISPLACE_NAMES_PTLAST_EDITED_USER,DCGISPLACE_NAMES_PTSE_ANNO_CAD_DATA,DCGISPLACE_NAMES_PTOBJECTID,DCGISADDRESSES_PTOBJECTID,DCGISADDRESSES_PTSE_ANNO_CAD_DATA,DCGISADDRESSES_PTSMD,DCGISADDRESSES_PTANC
-77.0381470897621,38.9059742663063,CHARLES SUMNER SCHOOL MUSEUM & ARCHIVES,1201 17TH STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,18089,301200,,,,,,,2022/06/02 10:09:34+00,DAVID,,,,656848,6902495,,SMD 2C02,ANC 2C
-77.029144781682,38.9000666568483,NATIONAL MUSEUM OF WOMEN IN THE ARTS,1250 NEW YORK AVENUE NW,Ward 2,MUSEUM / ZOO,ACTIVE,206,279010,,,,,,,2005/05/12 00:00:00+00,Baker/Arcbridge,,,,657195,6812554,,SMD 2C01,ANC 2C
-77.0302141600362,38.8949473818548,NATIONAL CHILDRENS MUSUEM,1300 PENNSYLVANIA AVENUE NW,Ward 2,MUSEUM / ZOO,ACTIVE,17701,293198,,,,,,,2021/10/07 12:43:17+00,DAVID,,,,657341,6917901,,SMD 2C03,ANC 2C
-77.0445509925171,38.908052298028,HEURICH HOUSE MANSION,1307 NEW HAMPSHIRE AVENUE NW,Ward 2,MUSEUM / ZOO,ACTIVE,2954,241060,,,,,,,2005/08/12 12:56:54+00,OCTO GIS,2008/10/17 18:34:54+00,OCTO GIS DBA,,657435,6787960,,SMD 2B05,ANC 2B
-77.0445509925171,38.908052298028,CHRISTIAN HEURICH HOUSE MUSEUM,1307 NEW HAMPSHIRE AVENUE NW,Ward 2,MUSEUM / ZOO,ACTIVE,9803,241060,,,,,,,2010/10/13 10:24:44+00,DARREN,,,,657437,6787960,,SMD 2B05,ANC 2B
-77.0308656475862,38.908175805465,BETHUNE MEMORIAL MUSEUM,1318 VERMONT AVENUE NW,Ward 2,MUSEUM / ZOO,ACTIVE,15643,225385,,,,,,,2016/07/18 10:35:08+00,DAVID,,,,657554,6871402,,SMD 2F04,ANC 2F
-77.0327169095623,38.8910135623129,AFRICAN AMERICAN HISTORY MUSEUM,1400 CONSTITUTION AVENUE NW,Ward 2,MUSEUM / ZOO,ACTIVE,16028,310702,,,,,,,2017/11/06 07:15:46+00,DAVID,,,,657977,6889831,,SMD 2C03,ANC 2C
-77.0327169095623,38.8910135623129,NATIONAL MUSUEM OF AFRICAN AMERICAN HISTORY AND CULTURE,1400 CONSTITUTION AVENUE NW,Ward 2,MUSEUM / ZOO,ACTIVE,15654,310702,,,,,,,2016/09/06 14:12:30+00,DAVID,,,,657978,6889831,,SMD 2C03,ANC 2C
-77.0370010564739,38.9094633880993,L. RON HUBBARD HOUSE,1424 16TH STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,12534,242012,,,,,,,2012/09/14 13:35:06+00,DARREN,,,,658177,6788028,,SMD 2B04,ANC 2B
-77.0037567247783,38.8922719597704,SEWALL-BELMONT HOUSE,144 CONSTITUTION AVENUE NE,Ward 6,MUSEUM / ZOO,ACTIVE,16707,286201,,,,,,,2018/11/16 09:44:26+00,DAVID,,,,658283,6885040,,SMD 6C02,ANC 6C
