Name,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
Iowa,,,,,,"43,112","192,214","674,913","1,194,020","1,624,615","1,912,297","2,231,853","2,224,771","2,404,021","2,470,939","2,538,268","2,621,073","2,757,537","2,824,376","2,913,808","2,776,755","2,926,324","3,046,355","3,190,369"
Kansas,,,,,,,,"107,206","364,399","996,096","1,428,108","1,470,495","1,690,949","1,769,257","1,880,999","1,801,028","1,905,299","2,178,611","2,246,578","2,363,679","2,477,574","2,688,418","2,853,118","2,937,880"
Kentucky,"73,677","220,959","406,511","564,317","687,917","779,828","982,405","1,155,684","1,321,011","1,648,690","1,858,635","2,147,174","2,289,905","2,416,630","2,614,589","2,845,627","2,944,806","3,038,156","3,218,706","3,660,777","3,685,296","4,041,769","4,339,367","4,505,836"
Louisiana,,,"76,556","153,407","215,739","352,411","517,762","708,002","726,915","939,946","1,118,588","1,381,625","1,656,388","1,798,509","2,101,593","2,363,880","2,683,516","3,257,022","3,641,306","4,205,900","4,219,973","4,468,976","4,533,372","4,657,757"
Maine,"96,540","151,719","228,705","298,335","399,455","501,793","583,169","628,279","626,915","648,936","661,086","694,466","742,371","768,014","797,423","847,226","913,774","969,265","992,048","1,124,660","1,227,928","1,274,923","1,328,361","1,362,359"
Maryland,"319,728","341,548","380,546","407,350","447,040","470,019","583,034","687,049","780,894","934,943","1,042,390","1,188,044","1,295,346","1,449,661","1,631,526","1,821,244","2,343,001","3,100,689","3,922,399","4,216,975","4,781,468","5,296,486","5,773,552","6,177,224"
Massachusetts,"378,787","422,845","472,040","523,287","610,408","737,699","994,514","1,231,066","1,457,351","1,783,085","2,238,947","2,805,346","3,366,416","3,852,356","4,249,614","4,316,721","4,690,514","5,148,578","5,689,170","5,737,037","6,016,425","6,349,097","6,547,629","7,029,917"
Michigan,,"3,757","4,762","7,452","28,004","212,267","397,654","749,113","1,184,059","1,636,937","2,093,890","2,420,982","2,810,173","3,668,412","4,842,325","5,256,106","6,371,766","7,823,194","8,875,083","9,262,078","9,295,297","9,938,444","9,883,640","10,077,331"
Minnesota,,,,,,,"6,077","172,023","439,706","780,773","1,310,283","1,751,394","2,075,708","2,387,125","2,563,953","2,792,300","2,982,483","3,413,864","3,804,971","4,075,970","4,375,099","4,919,479","5,303,925","5,706,494"
Mississippi,,"7,600","31,306","75,448","136,621","375,651","606,526","791,305","827,922","1,131,597","1,289,600","1,551,270","1,797,114","1,790,618","2,009,821","2,183,796","2,178,914","2,178,141","2,216,912","2,520,638","2,573,216","2,844,658","2,967,297","2,961,279"
Missouri,,,"19,783","66,586","140,455","383,702","682,044","1,182,012","1,721,295","2,168,380","2,679,185","3,106,665","3,293,335","3,404,055","3,629,367","3,784,664","3,954,653","4,319,813","4,676,501","4,916,686","5,117,073","5,595,211","5,988,927","6,154,913"
Montana,,,,,,,,,"20,595","39,159","142,924","243,329","376,053","548,889","537,606","559,456","591,024","674,767","694,409","786,690","799,065","902,195","989,415","1,084,225"
Nebraska,,,,,,,,"28,841","122,993","452,402","1,062,656","1,066,300","1,192,214","1,296,372","1,377,963","1,315,834","1,325,510","1,411,330","1,483,493","1,569,825","1,578,385","1,711,263","1,826,341","1,961,504"
Nevada,,,,,,,,"6,857","42,941","62,266","47,355","42,335","81,875","77,407","91,058","110,247","160,083","285,278","488,738","800,493","1,201,833","1,998,257","2,700,551","3,104,614"
New Hampshire,"141,885","183,858","214,360","244,161","269,328","284,574","317,976","326,073","318,300","346,991","376,530","411,588","430,572","443,083","465,293","491,524","533,242","606,921","737,681","920,610","1,109,252","1,235,786","1,316,470","1,377,529"
New Jersey,"184,139","211,149","245,555","277,575","320,823","373,306","489,555","672,035","906,096","1,131,116","1,444,933","1,883,669","2,537,167","3,155,900","4,041,334","4,160,165","4,835,329","6,066,782","7,168,164","7,364,823","7,730,188","8,414,350","8,791,894","9,288,994"
New Mexico,,,,,,,"61,547","93,516","91,874","119,565","160,282","195,310","327,301","360,350","423,317","531,818","681,187","951,023","1,016,000","1,302,894","1,515,069","1,819,046","2,059,179","2,117,522"
New York,"340,120","586,050","959,049","1,372,812","1,918,608","2,428,921","3,097,394","3,880,735","4,382,759","5,082,871","6,003,174","7,268,894","9,113,614","10,385,227","12,588,066","13,479,142","14,830,192","16,782,304","18,236,967","17,558,072","17,990,455","18,976,457","19,378,102","20,201,249"
North Carolina,"393,751","478,103","556,526","638,829","737,987","753,419","869,039","992,622","1,071,361","1,399,750","1,617,949","1,893,810","2,206,287","2,559,123","3,170,276","3,571,623","4,061,929","4,556,155","5,082,059","5,881,766","6,628,637","8,049,313","9,535,483","10,439,388"
North Dakota,,,,,,,,,"2,405","36,909","190,983","319,146","577,056","646,872","680,845","641,935","619,636","632,446","617,761","652,717","638,800","642,200","672,591","779,094"
Commonwealth of the Northern Mariana Islands,,,,,,,,,,,,,,,,,,"8,290","9,460","16,780","43,345","69,221","53,883","47,329"
Ohio,,"42,159","230,760","581,434","937,903","1,519,467","1,980,329","2,339,511","2,665,260","3,198,062","3,672,329","4,157,545","4,767,121","5,759,394","6,646,697","6,907,612","7,946,627","9,706,397","10,652,017","10,797,630","10,847,115","11,353,140","11,536,504","11,799,448"
Oklahoma,,,,,,,,,,,"258,657","790,391","1,657,155","2,028,283","2,396,040","2,336,434","2,233,351","2,328,284","2,559,229","3,025,290","3,145,585","3,450,654","3,751,351","3,959,353"
Oregon,,,,,,,"12,093","52,465","90,923","174,768","317,704","413,536","672,765","783,389","953,786","1,089,684","1,521,341","1,768,687","2,091,385","2,633,105","2,842,321","3,421,399","3,831,074","4,237,256"
Pennsylvania,"434,373","602,545","810,091","1,049,458","1,348,233","1,724,033","2,311,786","2,906,215","3,521,951","4,282,891","5,258,113","6,302,115","7,665,111","8,720,017","9,631,350","9,900,180","10,498,012","11,319,366","11,793,909","11,863,895","11,881,643","12,281,054","12,702,379","13,002,700"
Puerto Rico,,,,,,,,,,,,,"1,118,012","1,299,809","1,543,913","1,869,255","2,210,703","2,349,544","2,712,033","3,196,520","3,522,037","3,808,610","3,725,789","3,285,874"
Rhode Island,"68,825","69,122","76,931","83,059","97,199","108,830","147,545","174,620","217,353","276,531","345,506","428,556","542,610","604,397","687,497","713,346","791,896","859,488","946,725","947,154","1,003,464","1,048,319","1,052,567","1,097,379"
South Carolina,"249,073","345,591","415,115","502,741","581,185","594,398","668,507","703,708","705,606","995,577","1,151,149","1,340,316","1,515,400","1,683,724","1,738,765","1,899,804","2,117,027","2,382,594","2,590,516","3,121,820","3,486,703","4,012,012","4,625,364","5,118,425"
South Dakota,,,,,,,,"4,837","11,776","98,268","348,600","401,570","583,888","636,547","692,849","642,961","652,740","680,514","665,507","690,768","696,004","754,844","814,180","886,667"
Tennessee,"35,691","105,602","261,727","422,813","681,904","829,210","1,002,717","1,109,801","1,258,520","1,542,359","1,767,518","2,020,616","2,184,789","2,337,885","2,616,556","2,915,841","3,291,718","3,567,089","3,923,687","4,591,120","4,877,185","5,689,283","6,346,105","6,910,840"
Texas,,,,,,,"212,592","604,215","818,579","1,591,749","2,235,527","3,048,710","3,896,542","4,663,228","5,824,715","6,414,824","7,711,194","9,579,677","11,196,730","14,229,191","16,986,510","20,851,820","25,145,561","29,145,505"
U.S. Virgin Islands,,,,,,,,,,,,,,"25,346","22,012","39,467","51,827","32,099","62,468","96,569","101,809","108,612","106,405","87,146"
Utah,,,,,,,"11,380","40,273","86,786","143,963","210,779","276,749","373,351","449,396","507,847","550,310","688,862","890,627","1,059,273","1,461,037","1,722,850","2,233,169","2,763,885","3,271,616"
Vermont,"85,425","154,465","217,713","235,764","280,652","291,948","314,120","315,098","330,551","332,286","332,422","343,641","355,956","352,428","359,611","359,231","377,747","389,881","444,330","511,456","562,758","608,827","625,741","643,077"
Virginia,"691,937","807,557","877,683","938,261","1,044,054","1,025,227","1,119,348","1,219,630","1,225,163","1,512,565","1,655,980","1,854,184","2,061,612","2,309,187","2,421,851","2,677,773","3,318,680","3,966,949","4,648,494","5,346,818","6,187,358","7,078,515","8,001,024","8,631,393"
Washington,,,,,,,"1,201","11,594","23,955","75,116","357,232","518,103","1,141,990","1,356,621","1,563,396","1,736,191","2,378,963","2,853,214","3,409,169","4,132,156","4,866,692","5,894,121","6,724,540","7,705,281"
West Virginia,"55,873","78,592","105,469","136,808","176,924","224,537","302,313","376,688","442,014","618,457","762,794","958,800","1,221,119","1,463,701","1,729,205","1,901,974","2,005,552","1,860,421","1,744,237","1,949,644","1,793,477","1,808,344","1,852,994","1,793,716"
Wisconsin,,,,"1,444","3,635","30,945","305,391","775,881","1,054,670","1,315,497","1,693,330","2,069,042","2,333,860","2,632,067","2,939,006","3,137,587","3,434,575","3,951,777","4,417,731","4,705,767","4,891,769","5,363,675","5,686,986","5,893,718"
Wyoming,,,,,,,,,"9,118","20,789","62,555","92,531","145,965","194,402","225,565","250,742","290,529","330,066","332,416","469,557","453,588","493,782","563,626","576,851"
